ruso; pagina; espanol
самовар; 8;samovar
самолёт; 19;avión
самостоятельно; 26;independientemente
самый; 24;mismo
сахар; 9;azúcar
свёкла; 11;remolacha
светлый; 27;claro
свидание; 28;cita| entrevista
свободное время; 23;tiempo libre
свой; 25;nuestro| vuestro| suyo
север; 12;norte
сегодня; 9;hoy
седой; 27;canoso
секретарь; 23;secretaria
сейчас; 6;ahora
семейный; 27;de familia| familiar
семь; 7;siete
семьдесять; 15;setenta
семьсот ; 15;setecientos
семья; 6;familia
сентябрь; 18;septiembre
серый; 27;gris
сестра; 3;hermana
сидеть; 18;estar sentado
сила; 26;fuerza
симпатичный; 26;simpático
синий; 8;azul oscuro
сказать; 6;decir
сказка; 13;cuento
сколько; 15;cuanto?
скорая помощь; 15;ambulancia
скромный; 27;modesto
скучно; 26;aburrido
слева; 19;izquierda
следующий; 20;siguiente
сливки; 23;crema (de leche)
словарь; 4;diccionario
слово; 4;palabra
случиться; 26;suceder
слушать; 7;escuchar
смеяться; 24;reirse
смотреть; 6;mirar
сначала; 23;al principio
собака; 2;perro
собираться; 28;reunirse
собор; 8;catedral
советовать; 18;aconsejar
советоваться; 23;consultar| asesorarse
современность; 28;época actual
современный; 23;moderno
совсем; 18;por completo
согласен; 16;estar de acuerdo
соглашаться; 23;consentir| estar de acuerdo
(к) сожалению; 9;pena| lástima
сок; 11;zumo
сорок; 15;cuarenta
сосиска; 11;salchicha
социолог; 3;sociólogo
спасибо; 5;gracias
спать; 9;dormir
спина; 14;espalda
спорить; 19;discutir
спортсмен; 11;deportista
справа; 19;a la derecha
справочное; 15;información
спрашивать; 7;preguntar
сразу; 21;en un instante
среда; 9;miércoles
средний; 24;medio| mediano
стадион; 12;estadio
станция; 2;estación
старуха; 28;vieja| anciana
старший; 21;mayor (de edad)
старый; 8;viejo| mayor (de edad)
стать; 20;hacerse
статься; 11;artículo
стихи; 27;versos
сто; 15;cien
стоить; 15;costar| valer
стол; 3;mesa
стоять; 19;estar de pie
страна; 2;país
странно; 22;extraño
строить; 16;construir
студент; 3;estudiante
стул; 3;silla
стучать; 24;llamar| golpear
стюардесса; 3;azafata
суббота; 9;sábado
сувенир; 9;souvenir
сумка; 3;bolso
суп; 11;sopa
счастье; 23;felicidad
считать; 23;considerar| calcular
сыр; 11;queso
сюжет; 19;tema| argumento
так; 9;así| de esta manera
такси; 19;taxi
такой; 18;tal| tan
там; 12;allí| allá
танцевать; 9;bailar
твой; 2;tu| tuyo
творог; 11;requesón
театр; 8;teatro
текст; 9;texto
телевизор; 6;televisor
тёмный; 24;oscuro| sombrío
температура; 14;temperatura
теннис; 13;tenis
теперь; 12;ahora
тёплый; 25;cálido
тетрад; 4;cuaderno
тётя; 2;tía
технический; 12;técnico(adjet.)
тоже; 3;también| tampoco
только; 18;sólo| solamente
торт; 15;tarta
традиционный; 19;tradicional
трамвай; 19;tranvía
третий; 3;tercero
три; 3;tres
тридцать; 15;treinta
тринадцатый; 13;decimotercero
тринадцать; 13;trece
триста; 15;trescientos
троллейбус; 19;trolebús
трудно; 7;difícil
трудолюбивый; 27;laborioso
туда; 19;allí
ты; 3;tú
тысяча; 15;mil
у; 27;junto a
убирать; 28;quitar| retirar| limpiar
уверен (-аб –ы); 16;seguro| firme
угол; 12;esquina
удивлять; 22;asombrar
удовольствие; 9;placer| gusto
уехать; 19;partir
уже; 7;ya
ужин; 11;cena
ужинать; 16;cenar
узкий; 8;estrecho
уйти; 19;irse
улица; 8;calle
улыбаться; 28;sonreir
уметр; 26;saber| poder
умирать; 26;morir
умный; 24;inteligente
университет; 12;universidad
упражнение; 4;ejercicio
урок; 1;lección
условие; 26;condición
успех; 23;éxito
устал (-аб –и); 16;сansado
утро; 3;la mañana
ухо; 14;oreja
учебник; 5;manual| libro de texto
ученик; 5;alumno
учитель; 25;profesor| maestro
учить; 9;enseñar
учиться; 12;aprender
уютный; 12;cómodo| confortable 
фамилия; 25;apellido
февраль; 18;febrero
ферма; 12;granja
фигура; 27;figura
физик; 3;físico
филармония; 19;filarmónica
фильм; 8;película
фини/финка; 5;finlandés/a (sust.)
финский; 5;finlandés (adjet.)
фирма; 13;firma
фотоаппарат; 14;cámara de fotos
фотография; 4;fotografía
фраза; 14;frase
фрукт; 11;fruta
футбол; 11;fútbol
характер; 24;carácter
хлеб; 9;pan
ходить; 19;andar| caminar
холодно; 25;hace frío
хороший; 12;bueno
хорошо; 4;bien| bueno
хотеть; 5;querer
художник; 3;pintor
худой; 27;delgado| flaco
цветы ; 9;flores
целовать; 13;besar
целый; 16;entero| todo
центр; 2;centro
чай; 11;té
часто; 8;a menudo| con frecuencia
часть; 26;parte
часы; 8;reloj
чашка; 8;taza
чей; 8;de quien?
человек; 4;persona
уемодан; 4;maleta
через; 19;por encima de| dentro de
чёрный; 27;negro
черты лица; 27;facciones
четверг; 9;jueves
четвёртый; 4;cuarto
четыре; 4;cuatro
четыреста; 15;cuatrocientos
чистый; 28;limpio
читать; 6;leer
что; 4;que
чтобы; 25;que
что-нибудь; 18;alguna cosa
чувство; 28;sentido
чувствовать себя; 14;sentir| como se siente
чудесный; 20;maravilloso
шахматы; 18;ajedrez
шестой; 6;sexto
шесть; 6;seis
шестьдесят; 15;sesenta
шестьсот; 15;seiscientos
шея; 14;cuello
широкий; 8;ancho| amplio
шкаф; 12;armario
школа; 13;escuela
школьник; 6;escolar
шофер; 3;chofer
штат; 12;estado
шутка; 6;broma| chiste
щи; 11;sopa de col
экономика; 11;economía
экскурсия; 14;excursión
экскурсовод; 5;excursionista
энергичный; 27;enérgico
это; 1;esto| eso
этот; 15;este| ese
юбка; 2;falda
юг; 12;sur
я; 3;yo
яблоко; 4;manzana
язык; 5;idioma
яйцо; 11;huevo
январь; 18;enero
